SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end,Hubble_dm,Hubble_dm_err
ASASSN-15kg,2MASX J08401168-0435369,,Ia-pec?,0.014257,,3,33810,'08:40:12.010,-04:35:31.00,0.057,0.0057,S_F_2011,8h40m11.6773s,-4d35m37.1148s,230.396829,21.644036,0.014257,               HII,4274,22,4544,35,,,done,3,all6,,,,,,,33.83636876650904,0.419486548,HF,,,0,,,,,,,,,,end,33.83636876650904,0.4154034923761063
ASASSN-15lh,A220215-6139,,SLSN-I,0.2326,SN2015L,100,,'22:02:15.45,-61:39:34.6,0.094,0.0094,S_F_2011,,,,,,,,,,,,,faint,6,,,,,,,,,,,,,88,,,,,,,,,,end,,
ASASSN-15mj,PGC 2036567,,Ib,0.0344,,9,33883,'14:02:15.640,+33:39:40.29,0.039,0.0039,S_F_2011,14h02m16.1762s,33d39m41.22s,,,,,,,,,,,GI13,3,all6,,,,,,,,,,,,3,,,,,,,,,,end,,
ASASSN-15ns,MRK 887,,Ia,0.030671,,1,33925,'16:40:28.02,+39:19:12.8,0.036,0.0036,S_F_2011,16h40m28.0135s,39d19m12.5076s,62.764451,41.401362,0.030671,Compact,9195,57,9667,59,,,,1000,,on nucleus,,,,,,35.499954845239266,0.365173336,HF,,,,,,,,,,,,,end,35.499954845239266,0.36047560629649833
ASASSN-15od,MCG -01-07-04,,Ia,0.017989,,9,,'02:23:13.210,-04:31:02.00,0.07,0,"Brown_walker_2020,S_F_2011",2h23m13.2516s,-4d31m01.5168s,171.048882,-58.532171,0.017989,               HII,5393,45,5221,46,,,done,3500,all6,,,,,,,34.3413482788096,0.395836491,HF,,,0,,,,,,,,,,end,34.3413482788096,0.3915068643752799
ASASSN-15og,,,Ia-CSM,0.0437,SN2016dvr,6,,,,,,,,,,,,,20428,64,20203,65,,,done,2,all6,formerlyused0.068forredshift,,,,,,37.2333254232863,0.351005692,HF,,,6,,,,,,,,,,end,37.2333254232863,0.3461157221745961
ASASSN-15oz,HIPASS J1919-33,,II,0.006929,,21,,'19:19:33.49,-33:46:02.0,0.247,0.0247,S_F_2011,19h19m32.8s,-33d46m03s,4.3158,-20.1132,0.006931,,2078,14,2316,20,,,GI13,3,all6,,57656,Reynolds_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.1761R/abstract,,,32.27042389347458,0.594375494,HF,Reynolds_etal_2020,,,,,,,,,,,,end,32.27042389347458,0.5915009084116566
ASASSN-15pz,,,Ia-SC,0.014903,,22,34102,,,,,,,,,,,,4468,9,4413,17,,,done,2.5,223f,,,,,,,33.932761999586646,0.413227928,HF,,,20,,,,,,,,,,end,33.932761999586646,0.4090824091816484
ASASSN-15qc,UGC 402,,Ia,0.017649,,11,,'00:39:17.980,+03:57:00.14,0.065,0,"Brown_walker_2020,S_F_2011",0h39m18.612s,3d57m08.87s,117.088955,-58.781209,0.017649,S0,5291,6,5166,18,,,done,3,all,,,,,,,34.29988498502907,0.395368805,HF,,,0,,,,,,,,,,end,34.29988498502907,0.39103399999350963
ASASSN-15qh,ESO 534-G024,,II,0.010207,PS15cem&LSQ15bed,15,,'22:45:13.220,-22:43:39.82,0.081,0.0081,S_F_2011,22h45m14.634s,-22d43m50.26s,34.654767,-61.131912,0.010207,SAB(rs)d:,3060,8,3148,16,,,done,3,all,,x,,,,,33.110803309776685,0.477001758,HF,,,,,,,,,,,,,end,33.110803309776685,0.4734150129043036
ASASSN-15rq,GALEXASC J000802.78-363348.1,,Ia,0.025,,12,34125,'00:08:03.140,-36:33:51.81,0.035,0.0035,S_F_2011,0h08m02.8s,-36d33m49s,344.495307,-76.829793,,,,,,,,,done,3,223f,UV bright,,,,,,,,,,,10,,,,,,,,,,end,,
ASASSN-15rw,GALEXASC J021558.44+121415.2,,Ia,0.0189,,8,34126,'02:15:58.150,+12:14:14.60,0.372,0.0372,S_F_2011,2h15m58.44s,12d14m15.2s,153.177899,-45.611308,,,,,,,,,done,3,223f,,,,,,,,,,,,1,,,,,,,,,,end,,
ASASSN-15sf,APMUKS(BJ) B000853.90-064231.3,,Ia,0.027,,6,,'00:11:27.60,-06:25:38.4,0.083,0.0083,S_F_2011,0h11m27.3242s,-6d25m49.98s,96.472541,-67.225288,,,,,,,,,done,3,2238,,,,,,,,,,,,0,,,,,,,,,,end,,
ASASSN-15so,NGC 3583,,Ia,0.007125,,18,,'11:14:11.037,+48:19:07.24,0.039,0.0039,S_F_2011,11h14m10.979s,48d19m06.16s,158.116481,61.629279,0.007125,SB(s)b,2136,6,2604,22,,,done,3,223f,,,,,,,32.33020241915138,0.583042714,HF,,,11,,,,,,,,,,end,32.33020241915138,0.5801119750009548
ASASSN-15ti,2MASX J03051061+3754003,,Ia,0.016,,5,,'03:05:08.616,+37:54:00.72,0.406,0.0406,S_F_2011,3h05m10.6062s,37d53m59.9928s,150.104643,-17.81554,,,,,,,,,done,3,223f,,,,,,,,,,,,7,,,,,,,,,,end,,
ASASSN-15tj,SDSS J075527.63+520911.1,,Ia,0.022265,,10,34214,'07:55:28.670,+52:09:28.44,0.125,0.0125,S_F_2011,7h55m27.642s,52d09m11.06s,166.241469,30.706156,0.022265,,6675,37,6833,38,,,requested,3,223f,,,,,,,34.80445252755185,0.379177093,HF,,,1,,,,,,,,,,end,34.80445252755185,0.37465499460860424
ASASSN-15ts,2MASX J03344211-2050502,,Ia,0.059978,,8,34216,'03:34:42.020,-20:50:47.04,0.077,0.0077,S_F_2011,3h34m42.1228s,-20d50m50.5368s,212.390439,-52.347689,0.059978,S,17981,31,17730,33,,,done,2,223f,HV,,,,,,36.95626538254315,0.351753501,HF,,,0,,,,,,,,,,end,36.95626538254315,0.34687407315637214
ASASSN-15ua,GALEXASC J133454.49+105906.7,,,,,10,34230,'13:34:54.473,+10:59:04.69,0.077,0.0077,S_F_2011,13h34m54.4987s,10d59m06.774s,337.361705,70.8917,,,,,,,,,GI13,2.5,223f,,,,,,,,,,,,,,,,,,,,,,end,,
ASASSN-15uh,KUG 0925+693,,Ia-91T,0.0135,,10,34231,'09:30:13.694,+69:07:02.54,0.402,0.0402,S_F_2011,9h30m14.414s,69d07m07.64s,143.58084,38.951783,,,,,,,,,done,3,223f,,,,,,,,,,,,0,,,,,,,,,,end,,
ASASSN-15um,2MASX J05395948-8022191,,Ic,0.02,,6,34239,'05:40:05.191,-80:22:22.63,0.34,0.034,S_F_2011,5h39m59.489s,-80d22m19.18s,292.37362,-29.683916,0.028212,,9237,45,9001,47,,,done,3.5,4 UV,,x,,,,,35.50985089548309,0.364522831,HF,,,,,,,,,,,,,end,35.50985089548309,0.35981660812078076
ASASSN-15ut,NGC 88,,Ia-pec,0.011471,,4,34247,'00:21:21.090,-48:38:30.34,0.04,0,"Brown_walker_2020,S_F_2011",0h21m22.132s,-48d38m24.28s,316.107296,-67.711584,0.011471,SB(rs)0/a: pec LINER,3439,19,3487,26,,,done,3,223f,,,,,,,33.36435705647885,0.453740746,HF,,,2,,,,,,,,,,end,33.36435705647885,0.4499686227417423
ASASSN-15uw,2MASX J02353437-0603496,,Ia,0.030811,,3,34251,'02:35:34.307,-06:03:46.97,0.072,0.0072,S_F_2011,2h35m34.3561s,-6d03m50.021s,177.249919,-57.498961,0.030811,,9237,45,9001,47,,,done,3,2238,,,,,,,35.50985089548309,0.364522831,HF,,,0,,,,,,,,,,end,35.50985089548309,0.35981660812078076
AT2016blu,NGC 4559,PSNJ12355216+2755560,LBV,0.002692,,3,32249,'12:35:52.30,+27:55:55.9,0.047,0.0047,S_F_2011,12h35m57.6399s,27d57m35.8596s,198.4150313,86.4700958,0.002692,SAB(rs)cd      HII,807,1,717,10,,,done,5,all,,,,,,previous transient,30.21656385097914,1.286900406,HF,,,,,,ref,,,ref,,,,end,30.21656385097914,1.2855752609419155
CSS081009,,,SLSN-II,0.285,,2,,,,,,,,,,,,,,,,,,,skip,4,all,,,,,,,,,,,,1,,,ref,,,ref,,,,end,,
CSS14,,,IIn,0.033,CSS140222:112037+302809,5,,,,,,,,,,,,,,,,,,,short,5,all,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
CSS140914,,,Ia,0.03,CSS140914-010107-101840,8,,,,,,,,,,,,,600,,886,11,,,done,3,all,,,,,,,29.572952429287003,,HF,,,0,,,ref,,,YES,,,,end,29.572952429287003,
CSS141028,,PSNJ08181390+0445527,Ib,0.009,CSS141028-081814+044553,2,,,,,,,,,,,,,,,,,,,,3,al,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
DES15S2nr,,,SLSN-I,0.22,,8,34075,,,,,,,,,,,,,,,,,,done,9,30d5,,,,,,,,,,,,4,,,,,,,,,,end,,
Gaia15acw,NGC 2668,PSNJ08492024+3642572,II,0.025114,,4,,'08:49:20.24,+36:42:57.2,0.085,0,"Brown_walker_2020,S_F_2011",8h49m22.5574s,36d42m37.2276s,186.159217,38.589652,0.025114,Sab,7529,9,7757,15,,,GI12,3,all,,x,,,,,35.06588266307211,0.371806515,HF,,,,,,ref,,,ref,,,,end,35.06588266307211,0.36719365673799353
Gaia16alf,,,Ia,0.094,,1,34498,,,,,,,,,,,,28281,46,28720,49,,,short,1,all,,,,,,,37.93966998637421,0.349112734,HF,,,,,,,,,,,,,end,37.93966998637421,0.3441958719000188
Gaia16apd,,,SLSN-I,0.102,,18,,,,,,,,,,,,,,,,,,,done,3,,,,,,,,,,,,,12,,,,,,,,,,end,,
iPTF13asv,,,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13bjx,WISEA J145204.98+364754.9,,SNII,0.027863,,,,14 14 52.095,+36 47 28.6508,0.024,0.0024000000000000002,S_F_2011,14h52m04.98096s,36d47m54.942s,61.318558,62.786566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13bu,iPTF13bu HOST,,SNII,0.137,,,,13 24 11.5174,+30 17 40.0672,0.036,0.0036,S_F_2011,,,58.6541292,82.1542875,0.137000,,41072.0,0.0,41496.0,18.0,,,,,,,,,,,,38.749925434005625,,,,,,,,,,,,,,,,38.749925434005625,0.3431430734901358
iPTF13bvn,NGC 5806,,SNIb,0.00449,,,,15 00 00.1496,+01 52 53.2218,0.136,0.013600000000000001,S_F_2011,15h00m00.40880187s,1d53m28.77959479s,359.091062,50.194223,0.004493,SAB(s)b        NLAGN,1347.0,2.0,1731.0,23.0,,,,,,,,,,,,31.329034155983713,,,,,,,,,,,,,,,,31.329034155983713,0.81752867456856
iPTF13dcc,iPTF13dcc HOST,,SLSN-I,0.4308,,,,02 57 02.535,-00 18 44.2552,0.179,0.0179,S_F_2011,,,176.5164141,-49.6510554,0.430800,,129151.0,0.0,128728.0,21.0,,,,,,,,,,,,41.23768504341916,,,,,,,,,,,,,,,,41.23768504341916,0.34236577056109796
iPTF13dge,NGC 1762,,Ia,,,,,,,,,,5h03m37.02999643s,1d34m24.15985856s,198.394741,-23.001365,0.015858,SA(rs)c:,4754.0,2.0,4681.0,6.0,,,,,,,,,,,,34.06749206432959,,,,,,,,,,,,,,,,34.06749206432959,0.4017531217012756
iPTF13dge,NGC 1762,,Ia,0.015854,,7,32932;32929,'05:03:35.10,+01:34:17.6,0.24,0.024,S_F_2011,5h03m37.0284s,1d34m24.1564s,198.394741,-23.001365,0.015854,SA(rs)c:,4753,8,4680,10,,,done,5,all,,,,,,,34.06703524884258,0.406078187,HF,,,9,,,ref,,,ref,,,,end,34.06703524884258,0.4018589194942431
iPTF13dzb,WISEA J031049.34-002125.5,,SNII,0.03702,,,,03 10 50.2266,-00 21 40.532,0.195,0.019500000000000003,S_F_2011,3h10m49.35048s,-0d21m25.5204s,180.100213,-47.157943,0.037016,,11097.0,5.0,10837.0,14.0,,,,,,,,,,,,35.90822410754407,,,,,,,,,,,,,,,,35.90822410754407,0.3539492299578424
iPTF13ebh,,,Ia,,,,,'02:21:59.98,+33:16:13.7,0.207,0.0207,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13ebh,,,Ia,0.013269,,18,33037;33039,'02:21:59.98,+33:16:13.7,0.207,0.0207,S_F_2011,,,,,,,3978,18.88718065,3889,26,,,done,,,,,,,,,33.68052007131087,0.429325111,HF,,,9,,,ref,,,ref,,,,end,33.68052007131087,0.4253365119728721
iPTF13ebw,2MASX J08171533+5634457,,SNIc-BL,0.068648,,,,08 17 15.8783,+56 34 42.3037,0.172,0.0172,S_F_2011,8h17m15.3130968s,56d34m46.184412s,161.151148,34.047451,0.068605,,20567.0,3.0,20631.0,12.0,,,,,,,,,,,,37.248050917693774,,,,,,,,,,,,,,,,37.248050917693774,0.34571514072959897
iPTF13ehe,iPTF13ehe HOST,,SLSN-I,0.3429,,,,6 53 21.4400,+67 07 55.922,0.137,0.013700000000000002,S_F_2011,,,148.3268763,25.0268396,0.342900,,102799.0,0.0,102711.0,21.0,,,,,,,,,,,,40.742140627289864,,,,,,,,,,,,,,,,40.742140627289864,0.3424164092184562
iPTF14aki,SDSS J142041.70+031603.6,,SNIbn,0.064,,,,14 20 41.7094,+03 16 01.4243,0.087,0.0087,S_F_2011,14h20m41.7010008s,3d16m03.619992s,348.592896,57.994200,0.064000,Extended Src [SDSS],19187.0,0.0,19816.0,30.0,,,,,,,,,,,,37.09723155513756,,,,,,,,,,,,,,,,37.09723155513756,0.34622351090298886
iPTF14atg,,,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14atg,,,Ia,0.021405,ASASSN-14bd,,,,,,,,,,,,,,,,,,,,done,,,shock?,,,,,,,,,,,10,,,,,,,,,,end,,
iPTF14bdn,UGC 8503,,Ia,,,,,,,,,,13h30m45.06216s,32d45m37.9908s,68.799225,79.798255,0.015579,Im,4670.0,2.0,5257.0,26.0,,,,,,,,,,,,34.028780580199346,,,,,,,,,,,,,,,,34.028780580199346,0.4037471906083651
iPTF14bdn,UGC 8503,,Ia-99aa,0.01588,,47,,'13:30:44.88,+32:45:42.4,0.031,0.0031,S_F_2011,13h30m45.0622s,32d45m37.9908s,68.799225,79.798255,0.01555,Im,4662,4,5248,27,,,done,10,all/u/v grisms,,,,,,,34.02505752329158,0.408156854,HF,,,13,,,ref,,,ref,,,,end,34.02505752329158,0.40395929857098883
iPTF14cvn,SDSS J152219.14+070630.0,,SNII,0.03395,,,,15 22 19.1077,+07 06 28.5358,0.095,0.009500000000000001,S_F_2011,,,10.729698,49.025605,0.033954,,10179.0,2.0,10824.0,30.0,,,,,,,,,,,,35.72072174919269,,,,,,,,,,,,,,,,35.72072174919269,0.3560993145105385
iPTF14flu,WISEA J231811.02+355216.0,,SNII,0.0627,,,,23 18 10.8237,+35 52 11.6105,0.275,0.027500000000000004,S_F_2011,23h18m11.02728s,35d52m16.0356s,102.498767,-23.273843,0.062700,"     
Spare 5                    :",18797.0,0.0,18651.0,28.0,,,,,,,,,,,,37.052638884482334,,,,,,,,,,,,,,,,37.052638884482334,0.34638794216936647
iPTF14gik,WISEA J011314.78+090209.3,,SLSN-IIn,0.1237,,,,01 13 14.8727,+09 02 07.165,0.174,0.0174,S_F_2011,1h13m14.79s,9d02m09.3876s,131.997562,-53.451389,0.123700,"     
Spare 5                    :",37084.0,0.0,36731.0,26.0,,,,,,,,,,,,38.52812903939066,,,,,,,,,,,,,,,,38.52812903939066,0.34333878824114034
iPTF14to,UGC 10373,,SNII,0.02562,PS1-14pi,,,16 24 42.565,+07 10 55.4689,0.195,0.019500000000000003,S_F_2011,16h24m42.2860008s,7d10m56.409996s,21.632047,35.768364,0.025614,Scd:,7679.0,2.0,8300.0,28.0,,,,,,,,,,,,35.108719515313624,,,,,,,,,,,,,,,,35.108719515313624,0.36621672640381986
