SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
ASASSN-14eu,MCG -01-38-15,,Ia-pec?,0.022722,,5,,'15:00:36.84,-03:50:48.9,0.413,0.0413,S_F_2011,15h00m38.859s,-3d51m29.46s,353.118943,46.043392,0.022722,,6812,34,7504,53,,,done,6,,,,,,,,34.87971071,0.377804503,HF,,34.87971071,0.377804503,,5,,,ref,,,ref,,,,end
ASASSN-14fa,ESO 416-G39,,Ia,0.022589,,8,,'02:52:23.06,-31:49:18.0,0.054,0.0054,S_F_2011,2h52m22.3022s,-31d49m02.1567s,230.376711,-63.353057,0.022589,S0?,6772,30,6666,33,,,done,5,,,,,,,,34.86692227,0.377967456,HF,,34.86692227,0.377967456,,6,,,ref,,,ref,,,,end
ASASSN-14fd,PGC 43070,,IIn,0.015367,,11,,'12:46:14.768,-40:48:52.53,0.294,0.0294,S_F_2011,12h46m14.8s,-40d48m48s,301.872664,22.048125,0.015367,I,4607,19,4347,29,,,,3,all,,,,,,,34.03042858,0.410004834,HF,,34.03042858,0.410004834,,,,,ref,,,ref,,,,end
ASASSN-14ha,NGC 1566,,II,0.005017,,27,,'04:20:01.41,-54:56:17.0,0.024,0.0024,S_F_2011,4h20m00.402s,-54d56m16.5781s,264.310155,-43.393163,0.005017,(R'_1)SAB(rs)bcSy1,1504,2,1413,15,,,done,,,,,,,,SN2010el,31.5995767,0.750127324,HF,,31.5995767,0.750127324,,10,,,ref,,,ref,,,,end
ASASSN-14il,PGC 3093694,,IIn,0.021989,,30,,'00:45:32.55,-14:15:34.6,0.06,0.006,S_F_2011,0h45m32.609s,-14d15m32.81s,116.542398,-77.057622,0.021989,               HII,6592,45,6462,47,,,done,2,all,,,,,,,34.80842351,0.380448262,HF,,34.80842351,0.380448262,,18,,,ref,,,ref,,,,end
ASASSN-14jb,,,II,0.006031,,11,,,,,,,,,,,,,1808,3,1912,12,,,done,2,all,,,,,,SN2009ip near,31.99932965,0.653107017,HF,,31.99932965,0.653107017,,8,,,ref,,,ref,,,,end
ASASSN-14kd,2MASX J22532475+0447583,,Ia-91T,0.026,,9,,'22:53:24.95,+04:47:57.3,0.182,0.0182,S_F_2011,22h53m24.7574s,4d47m58.2563s,76.686987,-47.196618,0.028993,,8692,0,8639,19,,,oldIa,4,all,,,,,,,35.40893611,0.365785986,HF,,35.40893611,0.365785986,,0,,,ref,,,ref,,,,end
ASASSN-14kr,GALEXASC J125413.02-073849.5,,Ia,0.014,,3,,'12:54:13.150,-07:38:57.46,0.093,0.0093,S_F_2011,12h54m13s,-7d38m49s,304.139478,55.217991,,,,,,,,,needs,3,,,,,,,,,,,,,,,,,,ref,,,ref,,,,end
ASASSN-14lp,NGC 4666,,Ia,0.0051,,27,,'12:45:09.10,-00:27:32.4,0.065,0,"Brown_walker_2020,S_F_2011",12h45m08.676s,-0d27m42.88s,299.537333,62.368367,0.005101,SABc:;HII      LINER,1529,5,2005,40,,,done,4,,,,,,,,31.63537494,0.740658962,HF,,31.63537494,0.740658962,,13,,,ref,,,ref,,,,end
ASASSN-14lw,GALEXASC J010647.95-465904.1,,Ia,0.023,,12,,'01:06:49.170,-46:58:59.96,0.037,0.0037,S_F_2011,1h06m47.95s,-46d59m04.1s,295.286222,-69.915161,,,,,,,,,done,4,UV,,,,,,,,,,,,,,12,,,ref,,,ref,,,,end
ASASSN-14ms,SDSS J130408.52+521846.4,,Ibn,0.054,,2,,'13:04:08.69,+52:18:46.5,0.031,0.0031,S_F_2011,13h04m08.527s,52d18m46.48s,118.385423,64.703134,0.054000,Extended Src [SDSS],16189.0,30.0,16557.0,33.0,,,,2,all,arxiv1711.00862,,,,,,,,,,,,,,,,ref,,,ref,,,,end
ASASSN-15aj,NGC 3449,,Ia,0.010921,,9,,'10:52:53.260,-32:55:34.86,0.205,0.0205,S_F_2011,10h52m53.65s,-32d55m39.47s,275.98482,23.667932,0.010921,SA(s)ab:,3274,6,3328,26,,,done,3,all,,,,,,,33.28873089,0.46253525,HF,,33.28873089,0.46253525,,2,,,ref,,,ref,,,,end
ASASSN-15ar,CGCG 439-010,,Ia,0.02882,,7,,'02:28:20.360,+10:23:03.87,0.293,0.0293,S_F_2011,2h28m21.6701s,10d22m55.7004s,158.268338,-45.734887,0.02882,,8640,31,8400,35,,,done,5,all,,,,,,,35.39590623,0.366443758,HF,,35.39590623,0.366443758,,0,,,ref,,,ref,,,,end
ASASSN-15cq,CGCG 218-007,,Ia,0.027276,,5,33630,'13:23:48.460,+43:17:59.11,0.035,0.0035,S_F_2011,13h23m48.4522s,43d18m04.2768s,102.956189,72.549463,0.027276,Sy2,8177,32,8677,38,,,done,,,,,,,,,35.27630751,0.368648916,HF,,35.27630751,0.368648916,,2,,,,,,,,,,end
ASASSN-15fi,MRK 884,,II,0.017182,,4,33717,'16:31:48.800,+20:24:38.50,0.153,0.0153,S_F_2011,16h31m48.7606s,20d24m38.7468s,37.82749,39.518945,0.017182,Pec,5151,4,5746,24,,,done,3,5noB,30ed_bright star?,x,,,,,34.27279527,0.397828538,HF,,34.27279527,0.397828538,,0,,,,,,,,,,end
ASASSN-15fz,NGC 5227,,II,0.017479,,2,,'13:35:25.14,+01:24:33.0,0.066,0.0066,S_F_2011,13h35m24.5507s,1d24m38.0789s,327.061109,62.204547,0.017479,(R')SB(r)b     NLAGN,5240,9,5910,43,,,m2;w1 done,13,,,x,,,,,34.30999395,0.396303937,HF,,34.30999395,0.396303937,,,,,,,,,,,,end
ASASSN-15ga,NGC 4866,,Ia-99by,0.006631,,4,,'12:59:27.292,+14:10:15.79,0.074,0.0074,S_F_2011,12h59m27.14s,14d10m15.78s,311.539062,76.908649,0.006631,SB(rs)bc;HII   Sbrst,1988,5,1019,67,,,done,4,,nearcenterofhost,,,,,,32.20541942,0.611349844,HF,,32.20541942,0.611349844,,0,,,,,,,,,,end
ASASSN-15hf,ESO 375-G41,,Ia,0.006178,,8,33743,'10:29:30.76,-35:15:35.2,0.266,0.0266,S_F_2011,10h29m31.007s,-35d15m35.45s,272.813145,19.180255,0.006178,S0-,1852,37,1764,44,,,done,2,all6,,,,,,,32.05154243,0.649688413,HF,,32.05154243,0.649688413,,,,,,,,,,,,end
ASASSN-15hx,GALEXASC J134316.80-313318.2,,Ia,0.01?,,15,,'13:43:16.692,-31:33:21.55,0.131,0.0131,S_F_2011,13h43m16.8s,-31d33m20s,315.684954,30.029661,0.008120,"     
Spare 5                    :",2434.0,0.0,2093.0,32.0,,,none,2,all6,,,,,,,,,,,,,,,,,,,,,,,,end
ASASSN-15hy,Unknown,,Ia-SC,0.025,,20,33762,'20:10:02.350,-00:44:21.31,0.41,0.041,S_F_2011,,,,,,,,,,,,,none,2,all6,,,,,,,,,,,,,,,,,,,,,,,,end
ASASSN-15kg,2MASX J08401168-0435369,,Ia-pec?,0.014257,,3,33810,'08:40:12.010,-04:35:31.00,0.057,0.0057,S_F_2011,8h40m11.6773s,-4d35m37.1148s,230.396829,21.644036,0.014257,               HII,4274,22,4544,35,,,done,3,all6,,,,,,,33.86751011,0.419486548,HF,,33.86751011,0.419486548,,0,,,,,,,,,,end
ASASSN-15lh,A220215-6139,,SLSN-I,0.2326,SN2015L,100,,'22:02:15.45,-61:39:34.6,0.094,0.0094,S_F_2011,,,,,,,,,,,,,faint,6,,,,,,,,,,,,,,,88,,,,,,,,,,end
ASASSN-15mj,PGC 2036567,,Ib,0.0344,,9,33883,'14:02:15.640,+33:39:40.29,0.039,0.0039,S_F_2011,14h02m16.1762s,33d39m41.22s,,,,,,,,,,,GI13,3,all6,,,,,,,,,,,,,,3,,,,,,,,,,end
ASASSN-15ns,MRK 887,,Ia,0.030671,,1,33925,'16:40:28.02,+39:19:12.8,0.036,0.0036,S_F_2011,16h40m28.0135s,39d19m12.5076s,62.764451,41.401362,0.030671,Compact,9195,57,9667,59,,,,1000,,on nucleus,,,,,,35.53109619,0.365173336,HF,,35.53109619,0.365173336,,,,,,,,,,,,end
ASASSN-15od,MCG -01-07-04,,Ia,0.017989,,9,,'02:23:13.210,-04:31:02.00,0.07,0,"Brown_walker_2020,S_F_2011",2h23m13.2516s,-4d31m01.5168s,171.048882,-58.532171,0.017989,               HII,5393,45,5221,46,,,done,3500,all6,,,,,,,34.37248962,0.395836491,HF,,34.37248962,0.395836491,,0,,,,,,,,,,end
ASASSN-15og,,,Ia-CSM,0.0437,SN2016dvr,6,,,,,,,,,,,,,20428,64,20203,65,,,done,2,all6,formerlyused0.068forredshift,,,,,,37.26446676,0.351005692,HF,,37.26446676,0.351005692,,6,,,,,,,,,,end
ASASSN-15oz,HIPASS J1919-33,,II,0.006929,,21,,'19:19:33.49,-33:46:02.0,0.247,0.0247,S_F_2011,19h19m32.8s,-33d46m03s,4.3158,-20.1132,0.006931,,2078,14,2316,20,,,GI13,3,all6,,57656,Reynolds_etal_2020,https://ui.adsabs.harvard.edu/abs/2020MNRAS.493.1761R/abstract,,,32.30156523,0.594375494,HF,Reynolds_etal_2020,32.30156523,0.594375494,,,,,,,,,,,,end
ASASSN-15pz,,,Ia-SC,0.014903,,22,34102,,,,,,,,,,,,4468,9,4413,17,,,done,2.5,223f,,,,,,,33.96390334,0.413227928,HF,,33.96390334,0.413227928,,20,,,,,,,,,,end
ASASSN-15qc,UGC 402,,Ia,0.017649,,11,,'00:39:17.980,+03:57:00.14,0.065,0,"Brown_walker_2020,S_F_2011",0h39m18.612s,3d57m08.87s,117.088955,-58.781209,0.017649,S0,5291,6,5166,18,,,done,3,all,,,,,,,34.33102633,0.395368805,HF,,34.33102633,0.395368805,,0,,,,,,,,,,end
ASASSN-15qh,ESO 534-G024,,II,0.010207,PS15cem&LSQ15bed,15,,'22:45:13.220,-22:43:39.82,0.081,0.0081,S_F_2011,22h45m14.634s,-22d43m50.26s,34.654767,-61.131912,0.010207,SAB(rs)d:,3060,8,3148,16,,,done,3,all,,x,,,,,33.14194465,0.477001758,HF,,33.14194465,0.477001758,,,,,,,,,,,,end
ASASSN-15rq,GALEXASC J000802.78-363348.1,,Ia,0.025,,12,34125,'00:08:03.140,-36:33:51.81,0.035,0.0035,S_F_2011,0h08m02.8s,-36d33m49s,344.495307,-76.829793,,,,,,,,,done,3,223f,UV bright,,,,,,,,,,,,,10,,,,,,,,,,end
ASASSN-15rw,GALEXASC J021558.44+121415.2,,Ia,0.0189,,8,34126,'02:15:58.150,+12:14:14.60,0.372,0.0372,S_F_2011,2h15m58.44s,12d14m15.2s,153.177899,-45.611308,,,,,,,,,done,3,223f,,,,,,,,,,,,,,1,,,,,,,,,,end
ASASSN-15sf,APMUKS(BJ) B000853.90-064231.3,,Ia,0.027,,6,,'00:11:27.60,-06:25:38.4,0.083,0.0083,S_F_2011,0h11m27.3242s,-6d25m49.98s,96.472541,-67.225288,,,,,,,,,done,3,2238,,,,,,,,,,,,,,0,,,,,,,,,,end
ASASSN-15so,NGC 3583,,Ia,0.007125,,18,,'11:14:11.037,+48:19:07.24,0.039,0.0039,S_F_2011,11h14m10.979s,48d19m06.16s,158.116481,61.629279,0.007125,SB(s)b,2136,6,2604,22,,,done,3,223f,,,,,,,32.36134376,0.583042714,HF,,32.36134376,0.583042714,,11,,,,,,,,,,end
ASASSN-15ti,2MASX J03051061+3754003,,Ia,0.016,,5,,'03:05:08.616,+37:54:00.72,0.406,0.0406,S_F_2011,3h05m10.6062s,37d53m59.9928s,150.104643,-17.81554,,,,,,,,,done,3,223f,,,,,,,,,,,,,,7,,,,,,,,,,end
ASASSN-15tj,SDSS J075527.63+520911.1,,Ia,0.022265,,10,34214,'07:55:28.670,+52:09:28.44,0.125,0.0125,S_F_2011,7h55m27.642s,52d09m11.06s,166.241469,30.706156,0.022265,,6675,37,6833,38,,,requested,3,223f,,,,,,,34.83559387,0.379177093,HF,,34.83559387,0.379177093,,1,,,,,,,,,,end
ASASSN-15ts,2MASX J03344211-2050502,,Ia,0.059978,,8,34216,'03:34:42.020,-20:50:47.04,0.077,0.0077,S_F_2011,3h34m42.1228s,-20d50m50.5368s,212.390439,-52.347689,0.059978,S,17981,31,17730,33,,,done,2,223f,HV,,,,,,36.98740672,0.351753501,HF,,36.98740672,0.351753501,,0,,,,,,,,,,end
ASASSN-15ua,GALEXASC J133454.49+105906.7,,,,,10,34230,'13:34:54.473,+10:59:04.69,0.077,0.0077,S_F_2011,13h34m54.4987s,10d59m06.774s,337.361705,70.8917,,,,,,,,,GI13,2.5,223f,,,,,,,,,,,,,,,,,,,,,,,,end
ASASSN-15uh,KUG 0925+693,,Ia-91T,0.0135,,10,34231,'09:30:13.694,+69:07:02.54,0.402,0.0402,S_F_2011,9h30m14.414s,69d07m07.64s,143.58084,38.951783,,,,,,,,,done,3,223f,,,,,,,,,,,,,,0,,,,,,,,,,end
ASASSN-15um,2MASX J05395948-8022191,,Ic,0.02,,6,34239,'05:40:05.191,-80:22:22.63,0.34,0.034,S_F_2011,5h39m59.489s,-80d22m19.18s,292.37362,-29.683916,0.028212,,9237,45,9001,47,,,done,3.5,4 UV,,x,,,,,35.54099224,0.364522831,HF,,35.54099224,0.364522831,,,,,,,,,,,,end
ASASSN-15ut,NGC 88,,Ia-pec,0.011471,,4,34247,'00:21:21.090,-48:38:30.34,0.04,0,"Brown_walker_2020,S_F_2011",0h21m22.132s,-48d38m24.28s,316.107296,-67.711584,0.011471,SB(rs)0/a: pec LINER,3439,19,3487,26,,,done,3,223f,,,,,,,33.3954984,0.453740746,HF,,33.3954984,0.453740746,,2,,,,,,,,,,end
ASASSN-15uw,2MASX J02353437-0603496,,Ia,0.030811,,3,34251,'02:35:34.307,-06:03:46.97,0.072,0.0072,S_F_2011,2h35m34.3561s,-6d03m50.021s,177.249919,-57.498961,0.030811,,9237,45,9001,47,,,done,3,2238,,,,,,,35.54099224,0.364522831,HF,,35.54099224,0.364522831,,0,,,,,,,,,,end
AT2016blu,NGC 4559,PSNJ12355216+2755560,LBV,0.002692,,3,32249,'12:35:52.30,+27:55:55.9,0.047,0.0047,S_F_2011,12h35m57.6399s,27d57m35.8596s,198.4150313,86.4700958,0.002692,SAB(rs)cd      HII,807,1,717,10,,,done,5,all,,,,,,previous transient,30.24770519,1.286900406,HF,,30.24770519,1.286900406,,,,,ref,,,ref,,,,end
CSS081009,,,SLSN-II,0.285,,2,,,,,,,,,,,,,,,,,,,skip,4,all,,,,,,,,,,,,,,1,,,ref,,,ref,,,,end
CSS14,,,IIn,0.033,CSS140222:112037+302809,5,,,,,,,,,,,,,,,,,,,short,5,all,,,,,,,,,,,,,,,,,ref,,,ref,,,,end
CSS140914,,,Ia,0.03,CSS140914-010107-101840,8,,,,,,,,,,,,,600,,886,11,,,done,3,all,,,,,,,29.60409377,,HF,,29.60409377,,,0,,,ref,,,YES,,,,end
CSS141028,,PSNJ08181390+0445527,Ib,0.009,CSS141028-081814+044553,2,,,,,,,,,,,,,,,,,,,,3,al,,,,,,,,,,,,,,,,,ref,,,ref,,,,end
DES15S2nr,,,SLSN-I,0.22,,8,34075,,,,,,,,,,,,,,,,,,done,9,30d5,,,,,,,,,,,,,,4,,,,,,,,,,end
Gaia15acw,NGC 2668,PSNJ08492024+3642572,II,0.025114,,4,,'08:49:20.24,+36:42:57.2,0.085,0,"Brown_walker_2020,S_F_2011",8h49m22.5574s,36d42m37.2276s,186.159217,38.589652,0.025114,Sab,7529,9,7757,15,,,GI12,3,all,,x,,,,,35.097024,0.371806515,HF,,35.097024,0.371806515,,,,,ref,,,ref,,,,end
Gaia16alf,,,Ia,0.094,,1,34498,,,,,,,,,,,,28281,46,28720,49,,,short,1,all,,,,,,,37.97081133,0.349112734,HF,,37.97081133,0.349112734,,,,,,,,,,,,end
Gaia16apd,,,SLSN-I,0.102,,18,,,,,,,,,,,,,,,,,,,done,3,,,,,,,,,,,,,,,12,,,,,,,,,,end
iPTF13asv,,,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13bjx,WISEA J145204.98+364754.9,,SNII,0.027863,,,,14 14 52.095,+36 47 28.6508,,,,14h52m04.98096s,36d47m54.942s,61.318558,62.786566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13bu,iPTF13bu HOST,,SNII,0.137,,,,13 24 11.5174,+30 17 40.0672,,,,,,58.6541292,82.1542875,0.137000,,41072.0,0.0,41496.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13bvn,NGC 5806,,SNIb,0.00449,,,,15 00 00.1496,+01 52 53.2218,,,,15h00m00.40880187s,1d53m28.77959479s,359.091062,50.194223,0.004493,SAB(s)b        NLAGN,1347.0,2.0,1731.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13dcc,iPTF13dcc HOST,,SLSN-I,0.4308,,,,02 57 02.535,-00 18 44.2552,,,,,,176.5164141,-49.6510554,0.430800,,129151.0,0.0,128728.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13dge,skip these below here,,Ia,,,,,skip these,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13dge,NGC 1762,,Ia,0.015854,,7,32932;32929,'05:03:35.10,+01:34:17.6,0.24,0.024,S_F_2011,5h03m37.0284s,1d34m24.1564s,198.394741,-23.001365,0.015854,SA(rs)c:,4753,8,4680,10,,,done,5,all,,,,,,,34.09817659,0.406078187,HF,,34.09817659,0.406078187,,9,,,ref,,,ref,,,,end
iPTF13dzb,WISEA J031049.34-002125.5,,SNII,0.03702,,,,03 10 50.2266,-00 21 40.532,,,,3h10m49.349556s,-0d21m25.5081096s,180.100213,-47.157943,0.037016,,11097.0,5.0,10837.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13ebh,,,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13ebh,,,Ia,0.013269,,18,33037;33039,'02:21:59.98,+33:16:13.7,0.207,0.0207,S_F_2011,,,,,,,3978,18.88718065,3889,26,,,done,,,,,,,,,33.71166141,0.429325111,HF,,33.71166141,0.429325111,,9,,,ref,,,ref,,,,end
iPTF13ebw,2MASX J08171533+5634457,,SNIc-BL,0.068648,,,,08 17 15.8783,+56 34 42.3037,,,,8h17m15.3130968s,56d34m46.184412s,161.151148,34.047451,0.068605,,20567.0,3.0,20631.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF13ehe,iPTF13ehe HOST,,SLSN-I,0.3429,,,,6 53 21.4400,+67 07 55.922,,,,,,148.3268763,25.0268396,0.342900,,102799.0,0.0,102711.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14aki,SDSS J142041.70+031603.6,,SNIbn,0.064,,,,14 20 41.7094,+03 16 01.4243,,,,14h20m41.7010008s,3d16m03.619992s,348.592896,57.994200,0.064000,Extended Src [SDSS],19187.0,0.0,19816.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14atg,,,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14atg,,,Ia,0.021405,ASASSN-14bd,,,,,,,,,,,,,,,,,,,,done,,,shock?,,,,,,,,,,,,,10,,,,,,,,,,end
iPTF14bdn,,,Ia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14bdn,UGC 8503,,Ia-99aa,0.01588,,47,,'13:30:44.88,+32:45:42.4,0.031,0.0031,S_F_2011,13h30m45.0622s,32d45m37.9908s,68.799225,79.798255,0.01555,Im,4662,4,5248,27,,,done,10,all/u/v grisms,,,,,,,34.05619886,0.408156854,HF,,34.05619886,0.408156854,,13,,,ref,,,ref,,,,end
iPTF14cvn,SDSS J152219.14+070630.0,,SNII,0.03395,,,,15 22 19.1077,+07 06 28.5358,,,,,,10.729698,49.025605,0.033954,,10179.0,2.0,10824.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14flu,WISEA J231811.02+355216.0,,SNII,0.0627,,,,23 18 10.8237,+35 52 11.6105,,,,23h18m11.02728s,35d52m16.0356s,102.498767,-23.273843,0.062700,"     
Spare 5                    :",18797.0,0.0,18651.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14gik,WISEA J011314.78+090209.3,,SLSN-IIn,0.1237,,,,01 13 14.8727,+09 02 07.165,,,,1h13m14.79s,9d02m09.3876s,131.997562,-53.451389,0.123700,"     
Spare 5                    :",37084.0,0.0,36731.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14to,UGC 10373,,SNII,0.02562,PS1-14pi,,,16 24 42.565,+07 10 55.4689,,,,16h24m42.2860008s,7d10m56.409996s,21.632047,35.768364,0.025614,Scd:,7679.0,2.0,8300.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF14x,WISEA J140427.10+485556.7,,SNII,0.0478,,,,14 04 27.2648,+48 55 55.6914,,,,14h04m27.10656s,48d55m56.7948s,94.901952,64.031918,0.047800,Extended Src [SDSS],14330.0,0.0,14752.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15akq,SDSS J150351.85+333317.2,,SNIbn,0.1093,,,,15 03 51.2976,+33 33 18.2682,,,,,,53.810239,60.845561,0.109300,,32767.0,0.0,33205.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15ayt,WISEA J145627.93+182225.7,,SNII,0.0457,,,,14 56 27.8183,+18 22 24.137,,,,14h56m27.93072s,18d22m25.7664s,22.643154,59.968858,0.045703,Extended Src [SDSS],13701.0,5.0,14300.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15bxb,iPTF15bxb HOST,,SLSN-I,0.1806,,,,22 00 45.6483,+24 36 51.6406,,,,,,80.5615028,-23.8913729,0.180600,,54143.0,0.0,54022.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15crj,2MASX J22242835+3239313,,SNII,0.0217,,,,22 24 28.4453,+32 39 32.7445,,,,,,90.344975,-20.754724,0.021668,,6496.0,83.0,6534.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15cyk,SDSS J074214.86+203643.7,,SLSN-I,0.5388,,,,07 42 14.8389,+20 36 43.5265,,,,,,199.416900,20.102233,0.538800,Extended Src [SDSS],161528.0,0.0,161439.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iPTF15dda,KUG 2357+324A,,SNII,0.0344,,,,23 59 52.0133,+32 46 03.6437,,,,23h59m51.9s,32d46m03.100008s,110.560927,-28.862264,0.034400," 
Classifications            : Spiral",10313.0,0.0,10175.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
