SNname,HostName,PSN,type,redshift,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,UVM2_DatPoints,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm,Hubble_dm_err,Hubble_dm_ref,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end
SN2016eiy,,,Ia,0.0087,,,,['203.661'],['-23.681416666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coi,,,Ic-BL,0.0036,,,,['329.76725'],['18.18625'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coj,,,Ia,0.005,,,,['182.02833333333'],['65.177288888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016bau,,,Ib,0.003856,,,,['170.24591666667'],['53.173777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016edk,,,Ibn,0.0744,,,,['266.80929166667'],['30.224833333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016edk,,,Ibn,0.0744,,,,['266.80929166667'],['30.224833333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ccz,,,Ia,0.0149,,,,['217.7886'],['27.2361'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016cqj,,,II,0.022,,,,['359.05725'],['-0.541233'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coj,,,Ia,0.005,,,,['182.02833333333'],['65.177288888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016cwf,,,Ia,0.14,,,,['229.924092'],['11.037994'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016cvx,,,Ia,0.192,,,,['188.28107'],['56.437198'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coi,,,Ic-BL,0.0036,,,,['329.767'],['18.186'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coj,,,Ia,0.005,,,,['182.02833333333'],['65.177194444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coi,,,Ic-BL,0.0036,,,,['329.76725'],['18.18625'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016coj,,,Ia,0.005,,,,['182.02833333333'],['65.177288888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016bau,,,Ib,0.003856,,,,['170.24591666667'],['53.173777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ccz,,,Ia,0.0149,,,,['217.78858333333'],['27.236055555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ccz,,,Ia,0.0149,,,,['217.788598'],['27.236051'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016cvx,,,Ia,0.192,,,,['188.28083333333'],['56.437194444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ccz,,,Ia,0.0149,,,,['217.788598'],['27.236051'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ccj,,,Ia-pec,0.03,,,,['257.599625'],['26.396636111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016bau,,,Ib,0.003856,,,,['170.24591666667'],['53.173777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ccj,,,Ia-pec,0.03,,,,['257.599625'],['26.396636111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016bau,,,Ib,0.003856,,,,['170.24591666667'],['53.173777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016blz,,,II,0.011,,,,['235.121804'],['0.910106'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016bau,,,Ib,0.003856,,,,['170.24591666667'],['53.173777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016asf,,,Ia,0.021,,,,['102.65'],['31.112222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016aqt,,,Ia-pec,0.05,,,,['206.45833333333'],['26.796388888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016bau,,,Ib,0.003856,,,,['170.24591666667'],['53.173777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016asf,,,Ia,0.021,,,,['102.65'],['31.112222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016aiy,,,IIn,0.01,,,,['197.10579166667'],['-41.980638888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016aqt,,,Ia-pec,0.05,,,,['206.45833333333'],['26.796388888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016arc,,,Ia,,,,,['49.838833333333'],['41.490447222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ajf,,,Ia-91bg-like,0.0203,,,,['49.976666666667'],['41.564805555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016aiy,,,IIn,0.01,,,,['197.10583333333'],['-41.980638888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016ajf,,,Ia-91bg-like,0.0203,,,,['49.976666666667'],['41.564805555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016adi,,,Ia,0.015,,,,['206.92958333333'],['-30.9325'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016adj,,,Ib,,,,,['201.35045833333'],['-43.015972222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016adj,,,Ib,,,,,['201.35045833333'],['-43.015972222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2016adj,,,Ib,,,,,['201.35045833333'],['-43.015972222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ivu,,,IIP,0.0065,,,,['234.13625'],['16.605388888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ivv,,,II,0.003,,,,['307.2075'],['-4.3825277777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017egm,,,SLSN-I,0.030721,,,,['154.77342'],['46.45391'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hcc,,,IIn,0.0173,,,,['0.96075'],['-11.474661111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hoq,,,Ia,0.02,,,,['79.834541666667'],['-17.611588888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hzw,,,Ia-CSM,0.051,,,,['31.325541666667'],['53.203730555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hjy,,,Ia,0.007,,,,['39.010833333333'],['43.472083333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hxz,,,II,0.08,,,,['53.545875'],['-13.935805555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hcc,,,IIn,0.0173,,,,['0.96075'],['-11.474661111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017fgc,,,Ia,0.008,,,,['20.06'],['3.4027777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hjy,,,Ia,0.007,,,,['39.010833333333'],['43.472083333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2015fn,,,Ic,0.0549,,,,['37.583541666667'],['37.235194444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hcc,,,IIn,0.0173,,,,['0.96075'],['-11.474661111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hoq,,,Ia,0.02,,,,['79.834541666667'],['-17.611588888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hcc,,,IIn,0.0173,,,,['0.96075'],['-11.474661111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hky,,,II,0.009725,,,,['170.877125'],['63.366508333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hky,,,II,0.009725,,,,['170.877125'],['63.366508333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hjy,,,Ia,0.007,,,,['39.010833333333'],['43.472083333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gas,,,IIn,0.01,,,,['304.29716666667'],['58.202222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017fzw,,,Ia-91bg-like,0.0054,,,,['95.394875'],['-27.214864'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017egm,,,SLSN-I,0.030721,,,,['154.77341666667'],['46.453911111111'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017hbf,,,Ia,0.038,,,,['237.82357'],['-15.45297'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017glq,,,Ia,0.011755,,,,['32.116666666667'],['6.3879444444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gvp,,,Ia,0.023,,,,['355.44583333333'],['-1.3847222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gir,,,IIn,0.164,,,,['24.936875'],['-23.254777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gah,,,Ia,0.0089,,,,['330.67679166667'],['-32.792638888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017fzw,,,Ia-91bg-like,0.0054,,,,['95.394875'],['-27.214864'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gas,,,IIn,0.01,,,,['304.29727'],['58.2025'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017glq,,,Ia,0.011755,,,,['32.116666666667'],['6.3879444444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gmr,,,II,0.005,,,,['38.875625'],['-9.3541666666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gir,,,IIn,0.164,,,,['24.936875'],['-23.254777777778'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gmr,,,II,0.005,,,,['38.875625'],['-9.3541666666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gas,,,IIn,0.01,,,,['304.29716666667'],['58.202222222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017fzw,,,Ia-91bg-like,0.0054,,,,['95.394875'],['-27.214864'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gah,,,Ia,0.0089,,,,['330.67679166667'],['-32.792638888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gci,,,SLSN-I,0.09,,,,['101.68758333333'],['-27.248833333333'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gax,,,Ib/c,0.0044,,,,['71.456'],['-59.245166666667'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017fzw,,,Ia-91bg-like,0.0054,,,,['95.394875'],['-27.214864'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gax,,,Ib/c,0.0044,,,,['71.455958333333'],['-59.245155555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017gah,,,Ia,0.0089,,,,['330.67679166667'],['-32.792638888889'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017erp,,,Ia,0.006174,,,,['227.311708'],['-11.334222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ein,,,Ic,0.0027,,,,['178.22188'],['44.123944'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017fgc,,,Ia,0.008,,,,['20.060125'],['3.40275'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017eaw,,,II,0.00013,,,,['308.684333'],['60.193306'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017erp,,,Ia,0.006174,,,,['227.311708'],['-11.334222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017faf,,,II,0.0295,,,,['263.6665825'],['26.30611'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017erp,,,Ia,0.006174,,,,['227.311708'],['-11.334222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ein,,,Ic,0.0027,,,,['178.22188'],['44.123944'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017erp,,,Ia,0.006174,,,,['227.311708'],['-11.334222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017erp,,,Ia,0.006174,,,,['227.312'],['-11.334'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017erp,,,Ia,0.006174,,,,['227.311708'],['-11.334222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017emq,,,Ia,0.005247,,,,['150.0775'],['54.53975'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ein,,,Ic,0.0027,,,,['178.22188'],['44.123944'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017ein,,,Ic,0.0027,,,,['178.221875'],['44.123944444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cbv,,,Ia,0.003999,,,,['218.143417'],['-44.134094'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017eaw,,,II,0.00013,,,,['308.684333'],['60.193306'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017eaw,,,II,0.00013,,,,['308.68433333333'],['60.193305555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017eaw,,,II,0.00013,,,,['308.684333'],['60.193306'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017eaw,,,II,0.00013,,,,['308.684'],['60.193'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017eaw,,,II,0.00013,,,,['308.68433333333'],['60.193305555556'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017cyy,,,Ia,0.0098,,,,['144.15125'],['-63.948522222222'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SN2017drh,,,Ia,0.005554,,,,['263.10858333333'],['7.0631944444444'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
