name,type,redshift,OtherName,right ascension,declination
PTF10mwb,Ia,0.03, ,259.458223,40.881129
PTF10mwb,Ia,0.03, ,259.458223,40.881129
PTF10vzt,Ia,0.145, ,51.769133,-6.595029
PTF10vzt,Ia,0.145, ,51.769133,-6.595029
PTF10ygu,Ia,0.025047, ,144.376216,23.159157
PTF10ygu,Ia,0.025047, ,144.376216,23.159157
PTF11hzx,Ia,0.2287, ,327.671537,18.109546
PTF11hzx,Ia,0.2287, ,327.671537,18.109546
SN2011ek,Ia,NULL, ,36.45371,18.53333
SN2011fe,Ia,0.000804, ,210.774208,54.273722
PTF11okh,Ia,0.019, ,346.511728,34.110027
PTF11okh,Ia,0.019, ,346.511728,34.110027
PTF11ya,Ia,0.013356, ,63.39125,27.543462
PTF11ya,Ia,0.013356, ,63.39125,27.543462
PTF12dja,Ia,0.166, ,201.795176,60.673563
PTF12dja,Ia,0.166, ,201.795176,60.673563
SN2012cp,Ia,0.0166, ,206.757081,33.893156
SN2012cg,Ia,0.001458, ,186.803458,9.420333
